0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,"328, 128","344, 104","360, 72","264, 136","248, 104","216, 72",,,,,,,
,,"328, 128","344, 104","360, 72","264, 136","240, 104","216, 72",,,,,,,
,,"328, 128","344, 104","360, 72","264, 136","240, 104","216, 72",,,,,,,
,,"328, 128","344, 104","360, 72","264, 136","240, 104","216, 72",,,,,,,
,,"328, 128","344, 104","360, 72","264, 136","240, 104","216, 72",,,,,,,
,,"328, 136","344, 104","360, 72","264, 136","240, 104","216, 72",,,,,,,
,,"328, 136","344, 104","360, 72","264, 136","240, 112","216, 72",,,,,,,
,,"328, 128","352, 104","360, 72","272, 136","240, 112","216, 80",,,,,,,
,,"328, 136","352, 104","360, 72","264, 136","240, 112","216, 80",,,,,,,
,,"328, 136","352, 112","360, 72","264, 136","240, 120","216, 80",,,,,,,
,,"328, 136","360, 112","360, 80","264, 136","232, 120","216, 88",,,,,,,
,,"328, 136","360, 120","368, 80","272, 136","232, 120","216, 88",,,,,,,
,,"328, 136","360, 120","368, 88","264, 136","232, 128","216, 96",,,,,,,
,,"320, 136","360, 128","368, 96","272, 136","232, 128","216, 96",,,,,,,
,,"320, 136","360, 136","368, 96","272, 136","232, 136","216, 104",,,,,,,
,,"320, 136","360, 136","368, 104","272, 136","232, 144","216, 112",,,,,,,
,,"320, 136","360, 144","368, 112","272, 136","232, 144","216, 112",,,,,,,
,,"320, 136","360, 152","368, 112","272, 136","232, 152","224, 120",,,,,,,
,,"320, 136","360, 152","368, 120","280, 136","232, 152","224, 120",,,,,,,
,,"320, 136","360, 160","368, 120","280, 136","232, 152","224, 128",,,,,,,
,,"320, 136","360, 160","360, 128","280, 128","232, 160","224, 128",,,,,,,
,,"320, 136","360, 160","360, 128","280, 128","240, 160","224, 128",,,,,,,
,,"320, 136","352, 160","360, 128","280, 136","240, 160","224, 128",,,,,,,
,,"320, 136","352, 168","360, 136","280, 128","240, 160","224, 128",,,,,,,
,,"320, 136","352, 168","360, 136","280, 128","240, 160","224, 128",,,,,,,
,,"320, 136","352, 168","360, 136","280, 136","240, 160","224, 136",,,,,,,
,,"320, 136","352, 168","360, 136","280, 128","240, 160","224, 136",,,,,,,
,,"320, 136","352, 168","360, 136","280, 136","240, 160","224, 136",,,,,,,
,,"320, 136","352, 168","360, 136","280, 128","240, 160","224, 136",,,,,,,
,,"320, 136","352, 168","368, 136","280, 128","240, 160","224, 136",,,,,,,
,,"320, 136","352, 168","368, 136","280, 128","240, 160","224, 136",,,,,,,
,,"320, 136","352, 168","368, 136","280, 128","240, 160","224, 136",,,,,,,
,,"320, 136","352, 168","368, 136","280, 128","240, 160","224, 136",,,,,,,
,,"320, 136","352, 168","368, 136","280, 128","240, 160","224, 136",,,,,,,
,,"320, 136","352, 168","368, 136","280, 128","240, 160","224, 136",,,,,,,
,,"320, 136","360, 168","368, 136","280, 128","240, 160","224, 136",,,,,,,
,,"320, 136","360, 168","368, 136","280, 136","240, 160","224, 136",,,,,,,
,,"320, 136","360, 168","368, 128","280, 136","240, 160","224, 136",,,,,,,
,,"320, 136","360, 168","368, 128","280, 136","240, 160","224, 136",,,,,,,
,,"320, 136","360, 160","368, 128","280, 136","240, 160","224, 136",,,,,,,
,,"320, 136","360, 160","368, 128","280, 136","240, 160","224, 128",,,,,,,
,,"320, 136","360, 160","368, 128","280, 136","240, 160","224, 128",,,,,,,
,,"320, 136","360, 160","368, 120","280, 136","232, 160","224, 128",,,,,,,
,,"320, 136","360, 152","368, 120","280, 136","232, 152","224, 120",,,,,,,
,,"320, 136","360, 152","368, 112","272, 136","232, 152","224, 120",,,,,,,
,,"320, 136","360, 152","368, 112","280, 136","232, 144","224, 112",,,,,,,
,,"320, 136","360, 144","368, 112","272, 136","232, 144","224, 112",,,,,,,
,,"320, 136","360, 144","368, 104","272, 136","232, 136","224, 104",,,,,,,
,,"320, 136","360, 136","368, 96","272, 136","232, 136","224, 96",,,,,,,
,,"320, 136","360, 128","368, 96","272, 136","232, 128","224, 96",,,,,,,
,,"328, 136","360, 128","368, 88","272, 136","232, 120","224, 88",,,,,,,
,,"328, 136","360, 120","368, 80","272, 136","240, 120","224, 88",,,,,,,
,,"328, 136","352, 112","368, 80","272, 136","240, 112","224, 80",,,,,,,
,,"328, 136","352, 112","368, 80","272, 136","248, 112","224, 72",,,,,,,
,,"328, 136","352, 104","368, 72","272, 136","248, 104","224, 72",,,,,,,
,,"328, 136","344, 104","368, 72","272, 136","248, 104","224, 72",,,,,,,
,,"328, 136","344, 104","368, 72","272, 136","248, 104","224, 72",,,,,,,
,,"328, 136","344, 104","368, 72","272, 136","248, 104","224, 72",,,,,,,
,,"328, 136","344, 104","368, 72","272, 136","248, 104","224, 72",,,,,,,
,,"328, 136","344, 104","368, 72","272, 136","248, 104","224, 72",,,,,,,
,,"328, 136","344, 104","368, 72","272, 136","248, 104","224, 72",,,,,,,
,,"328, 136","344, 104","368, 72","272, 136","248, 104","224, 72",,,,,,,
,,"328, 136","344, 104","368, 72","272, 136","248, 104","224, 72",,,,,,,
