0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,5,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,7.0,,,,,,,,,,,,
,,,,,,7,,,,,,,,
,,3.0,1.0,,1,,7,,,,,,,
,,7.0,,,5,,,,,,,,,
,,,7,,,7,,,,,,,,
,,,1,7,,5,7,,,,,,,
,,,7,1,1,,,,,,,,,
,,,,7,5,7,7,,,,,,,
,,5.0,7.0,7.0,1.0,,,,,,,,,
,,,7,,,7,7,,,,,,,
,,,,7,,7,7,,,,,,,
,,,7,7,,,,,,,,,,
,,,7,,,7,8,,,,,,,
,,,,7,1,,,,,,,,,
,,,7,,,,7,,,,,,,
,,,,6,3,7,,,,,,,,
,,,,,,1,,,,,,,,
,,,5,,7,,,,,,,,,
,,,7,7,3,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,7,,7,,,,,,,
,,,,,3,,,,,,,,,
,,,,,7,,,,,,,,,
,,,,,3,,,,,,,,,
,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,
,,,,,7,,,,,,,,,
,,,,3,,,,,,,,,,
,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,
,,,,,,,3,,,,,,,
,,,,,,,,,,,,,,
,,,,3,,5,,,,,,,,
,,,3,,,3,3,,,,,,,
,,,,3,5,,,,,,,,,
,,,,,1,3,3,,,,,,,
,,,3,,5,,,,,,,,,
,,,,3,,3,3,,,,,,,
,,,3,3,,,3,,,,,,,
,,,3,,,3,,,,,,,,
,,1.0,,3,,3,3,,,,,,,
,,,3,3,,1,,,,,,,,
,,,4,,,3,3,,,,,,,
,,,,,,1,3,,,,,,,
,,,3,3,,3,,,,,,,,
,,,5,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
