0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,"200, 320","216, 288","240, 248","144, 320","128, 288","104, 248",,,,,,,
,,"200, 320","216, 288","240, 248","144, 320","128, 288","104, 248",,,,,,,
,,"200, 320","216, 288","240, 248","144, 320","128, 288","104, 248",,,,,,,
,,"200, 320","216, 288","240, 248","144, 320","120, 280","104, 248",,,,,,,
,,"200, 320","216, 296","240, 248","144, 320","120, 280","104, 248",,,,,,,
,,"200, 320","224, 288","240, 248","144, 320","120, 280","104, 248",,,,,,,
,,"200, 320","224, 288","240, 248","144, 320","120, 280","104, 248",,,,,,,
,,"200, 320","224, 288","240, 248","144, 320","120, 288","104, 248",,,,,,,
,,"200, 312","224, 288","240, 248","144, 312","120, 288","104, 248",,,,,,,
,,"200, 312","224, 288","240, 248","144, 312","120, 288","104, 248",,,,,,,
,,"200, 312","224, 288","240, 248","144, 312","120, 288","104, 248",,,,,,,
,,"200, 312","224, 288","240, 248","144, 312","120, 288","104, 248",,,,,,,
,,"200, 312","224, 288","240, 248","144, 312","120, 280","104, 248",,,,,,,
,,"200, 312","232, 288","240, 248","144, 304","112, 280","104, 248",,,,,,,
,,"200, 304","232, 280","240, 248","144, 304","112, 280","104, 248",,,,,,,
,,"200, 304","232, 280","240, 248","144, 304","112, 280","104, 248",,,,,,,
,,"200, 304","232, 280","240, 248","144, 304","112, 280","104, 248",,,,,,,
,,"200, 304","232, 288","240, 248","144, 304","112, 280","104, 248",,,,,,,
,,"200, 304","232, 288","240, 248","144, 304","112, 280","104, 248",,,,,,,
,,"200, 296","232, 288","240, 248","144, 296","112, 280","104, 248",,,,,,,
,,"200, 296","232, 288","240, 248","144, 296","112, 280","104, 248",,,,,,,
,,"200, 296","232, 288","240, 248","144, 296","112, 288","104, 248",,,,,,,
,,"200, 296","232, 288","240, 248","144, 296","112, 280","104, 248",,,,,,,
,,"200, 288","232, 288","240, 248","144, 288","112, 288","104, 248",,,,,,,
,,"200, 288","232, 288","240, 248","144, 288","112, 288","104, 248",,,,,,,
,,"200, 280","232, 288","240, 248","144, 288","112, 288","104, 248",,,,,,,
,,"200, 280","232, 288","240, 248","144, 280","112, 288","96, 248",,,,,,,
,,"200, 280","232, 288","240, 248","144, 280","112, 280","96, 248",,,,,,,
,,"200, 272","232, 280","240, 248","144, 272","112, 280","96, 248",,,,,,,
,,"200, 272","232, 288","240, 248","144, 272","112, 280","96, 248",,,,,,,
,,"200, 272","232, 288","240, 248","144, 272","112, 280","96, 248",,,,,,,
,,"200, 264","232, 288","240, 248","144, 264","112, 280","96, 248",,,,,,,
,,"200, 264","232, 280","240, 248","144, 264","112, 280","96, 248",,,,,,,
,,"200, 264","232, 280","240, 248","144, 264","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 264","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","112, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","104, 280","96, 248",,,,,,,
,,"200, 256","232, 280","240, 248","144, 256","104, 280","96, 248",,,,,,,
