0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"288, 88","280, 128",,,,,,,"280, 208","288, 272","280, 328",,,,"280, 168"
"288, 88","288, 128",,,,,,,"280, 208","288, 272","280, 328",,,,"280, 168"
"296, 88","288, 128",,,,,,,"280, 208","288, 264","280, 328",,,,"280, 168"
"296, 88","288, 128",,,,,,,"280, 208","288, 264","280, 328",,,,"280, 168"
"296, 88","288, 128",,,,,,,"280, 208","288, 264","280, 328",,,,"280, 168"
"296, 88","288, 128",,,,,,,"280, 208","288, 272","280, 328",,,,"280, 168"
"296, 88","288, 128",,,,,,,"280, 208","296, 264","280, 328",,,,"280, 168"
"296, 88","288, 128",,,,,,,"280, 208","296, 264","280, 328",,,,"288, 168"
"296, 88","288, 128",,,,,,,"288, 208","296, 272","280, 328",,,,"288, 168"
"304, 96","288, 128",,,,,,,"288, 208","296, 264","280, 328",,,,"288, 176"
"296, 96","288, 128",,,,,,,"280, 208","304, 272","280, 328",,,,"288, 176"
"304, 96","288, 136",,,,,,,"280, 216","304, 272","280, 328",,,,"280, 176"
"304, 96","288, 136",,,,,,,"280, 216","304, 272","280, 328",,,,"288, 176"
"304, 104","288, 144",,,,,,,"280, 216","304, 272","280, 328",,,,"288, 184"
"304, 104","288, 144",,,,,,,"280, 224","312, 280","280, 328",,,,"288, 184"
"304, 112","296, 144",,,,,,,"280, 224","312, 280","280, 336",,,,"288, 184"
"312, 112","296, 152",,,,,,,"280, 224","312, 280","280, 336",,,,"288, 192"
"312, 120","296, 152",,,,,,,"280, 232","312, 280","280, 336",,,,"288, 192"
"312, 120","296, 160",,,,,,,"280, 232","320, 280","280, 336",,,,"288, 200"
"312, 128","296, 168",,,,,,,"272, 240","320, 280","280, 336",,,,"288, 208"
"312, 128","296, 168",,,,,,,"272, 240","320, 280","280, 336",,,,"288, 208"
"320, 136","296, 176",,,,,,,"272, 248","320, 288","280, 336",,,,"288, 216"
"320, 144","296, 176",,,,,,,"272, 248","320, 288","280, 336",,,,"288, 216"
"320, 144","296, 184",,,,,,,"272, 256","320, 288","280, 336",,,,"288, 224"
"320, 152","304, 184",,,,,,,"272, 256","320, 288","280, 336",,,,"288, 224"
"320, 152","304, 192",,,,,,,"272, 264","320, 288","280, 336",,,,"288, 232"
"320, 160","304, 192",,,,,,,"272, 264","320, 288","280, 336",,,,"288, 232"
"320, 160","304, 200",,,,,,,"272, 264","320, 288","280, 336",,,,"288, 232"
"328, 168","304, 200",,,,,,,"272, 272","320, 288","280, 336",,,,"288, 240"
"328, 168","304, 200",,,,,,,"272, 272","320, 288","280, 336",,,,"288, 240"
"328, 168","304, 208",,,,,,,"272, 272","320, 288","280, 336",,,,"288, 240"
"328, 168","304, 208",,,,,,,"272, 272","320, 288","280, 336",,,,"288, 240"
"328, 176","304, 208",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 248"
"328, 176","312, 208",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 248"
"328, 176","304, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 248"
"328, 176","304, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 248"
"328, 184","304, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 248"
"328, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 248"
"336, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 288","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 288","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 256"
"336, 184","312, 216",,,,,,,"264, 288","320, 288","280, 336",,,,"288, 256"
"328, 184","312, 216",,,,,,,"264, 288","320, 288","280, 336",,,,"288, 256"
"328, 184","312, 216",,,,,,,"264, 288","320, 288","280, 336",,,,"288, 256"
"328, 184","312, 216",,,,,,,"264, 288","320, 288","280, 336",,,,"288, 256"
"328, 184","312, 216",,,,,,,"264, 288","320, 288","280, 336",,,,"288, 256"
"328, 184","312, 216",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 256"
"328, 184","304, 216",,,,,,,"264, 280","320, 296","280, 336",,,,"288, 256"
"328, 176","304, 216",,,,,,,"272, 280","320, 296","280, 336",,,,"288, 248"
"328, 176","304, 208",,,,,,,"264, 280","320, 288","280, 336",,,,"288, 248"
"328, 176","304, 208",,,,,,,"272, 280","320, 288","280, 336",,,,"288, 248"
"328, 168","304, 208",,,,,,,"272, 272","320, 288","280, 336",,,,"288, 240"
"328, 168","304, 200",,,,,,,"272, 272","320, 288","280, 336",,,,"288, 240"
"328, 160","304, 200",,,,,,,"272, 264","320, 288","280, 336",,,,"288, 232"
"328, 160","304, 192",,,,,,,"272, 264","320, 288","280, 336",,,,"288, 232"
"328, 152","304, 184",,,,,,,"272, 256","320, 288","280, 336",,,,"288, 224"
"328, 152","304, 184",,,,,,,"272, 256","320, 288","280, 336",,,,"288, 224"
"320, 144","304, 176",,,,,,,"272, 248","320, 288","280, 336",,,,"288, 216"
"320, 136","304, 176",,,,,,,"272, 248","320, 288","280, 336",,,,"288, 216"
"320, 136","304, 168",,,,,,,"272, 240","320, 288","280, 336",,,,"288, 208"
"320, 128","304, 168",,,,,,,"272, 240","320, 288","280, 336",,,,"288, 200"
"320, 128","296, 160",,,,,,,"280, 232","312, 288","280, 336",,,,"288, 200"
"320, 120","296, 160",,,,,,,"280, 232","312, 280","280, 336",,,,"288, 192"
"320, 120","296, 152",,,,,,,"280, 224","312, 280","280, 336",,,,"288, 192"
"312, 112","296, 152",,,,,,,"280, 224","304, 280","280, 336",,,,"288, 192"
"312, 112","296, 144",,,,,,,"280, 224","304, 280","280, 336",,,,"288, 184"
"312, 104","296, 144",,,,,,,"280, 216","304, 280","280, 336",,,,"288, 184"
"312, 104","296, 136",,,,,,,"280, 216","304, 272","280, 336",,,,"288, 176"
"312, 104","296, 136",,,,,,,"280, 216","296, 272","280, 336",,,,"288, 176"
"312, 96","296, 136",,,,,,,"280, 208","296, 272","280, 336",,,,"288, 176"
"312, 96","296, 136",,,,,,,"280, 216","296, 272","280, 336",,,,"288, 176"
"312, 96","296, 136",,,,,,,"280, 216","288, 272","280, 336",,,,"288, 176"
"312, 96","296, 136",,,,,,,"288, 216","288, 272","280, 336",,,,"288, 176"
"312, 96","296, 136",,,,,,,"288, 216","288, 272","280, 336",,,,"288, 176"
"312, 96","296, 136",,,,,,,"288, 216","288, 272","280, 336",,,,"288, 176"
"312, 96","296, 136",,,,,,,"288, 208","288, 272","280, 336",,,,"288, 176"
"312, 96","296, 136",,,,,,,"288, 208","288, 272","280, 336",,,,"288, 176"
"312, 96","296, 136",,,,,,,"288, 208","288, 272","280, 336",,,,"288, 176"
"304, 96","288, 136",,,,,,,"288, 208","288, 272","280, 336",,,,"288, 176"
"304, 96","296, 128",,,,,,,"288, 208","288, 272","280, 336",,,,"288, 176"
"304, 96","296, 128",,,,,,,"288, 208","288, 272","280, 336",,,,"288, 176"
